date,year,month,day,mandal,district,uid,longitude,latitude,area_km2,ndvi_min,ndvi_max,ndvi_mean,ndvi_median,ndvi_count,ndvi_min_env,ndvi_max_env,vci
2018-01-01,2018,1,1,Mavala,Adilabad,TSSD0578,78.51408561364691,19.638603904631886,34.92,0.23409999907016754,0.5066999793052673,0.3579730498485076,0.3626999855041504,78,0.1668128233689528,0.6411576882386819,40.299841030650505
2018-01-01,2018,1,1,Narnoor,Adilabad,TSSD0367,78.85150437306831,19.502438760649632,201.81,0.13490000367164612,0.6258000135421753,0.42281931096857245,0.41749998927116394,440,0.17631000172008168,0.7057618574662642,46.55934370105722
2018-01-01,2018,1,1,Neradigonda,Adilabad,TSSD0383,78.41434229753023,19.269116889117768,328.19,0.265500009059906,0.7042999863624573,0.43658602002640845,0.4325000047683716,710,0.24687310876980634,0.7618599045444542,36.83840300628178
2018-01-01,2018,1,1,Sirikonda,Adilabad,TSSD0478,78.60433951402213,19.373632971303277,202.11,0.1793999969959259,0.6671000123023987,0.4499136606852214,0.44964998960494995,432,0.26638124607227465,0.7717762309543336,36.31464895833437
2018-01-01,2018,1,1,Talamadugu,Adilabad,TSSD0492,78.38324782124002,19.630134299855918,285.66,0.14399999380111694,0.6621999740600586,0.41369725745906144,0.4153999984264374,583,0.20681698571756404,0.7548619265417292,37.748778673220684
2018-01-01,2018,1,1,Tamsi,Adilabad,TSSD0493,78.43975478296453,19.70662586989908,97.7,0.028300000354647636,0.6319000124931335,0.41372759588833513,0.4300999939441681,203,0.23163841510641164,0.7437241277083975,35.55834039124047
2018-01-01,2018,1,1,Utnur,Adilabad,TSSD0521,78.76771858719572,19.36986388358952,387.91,0.27070000767707825,0.6237999796867371,0.4561717254674617,0.45680001378059387,849,0.1951977625331272,0.725252293023962,49.23530465680021
2018-01-01,2018,1,1,Allapalli,Bhadradri Kothagudem,TSSD0013,80.51939971681679,17.908324602202427,507.54,0.30709999799728394,0.8147000074386597,0.6144332188356947,0.6492000222206116,1094,0.2956040293468636,0.7492031397287763,70.28875987441629
2018-01-01,2018,1,1,Annapureddipalle,Bhadradri Kothagudem,TSSD0022,80.74580730521693,17.35532995513882,176.27,0.29989999532699585,0.76419997215271,0.5393702456825658,0.5358999967575073,380,0.2782278763620477,0.7480560302734375,55.58252887709446
2018-01-01,2018,1,1,Aswapuram,Bhadradri Kothagudem,TSSD0027,80.79408929656407,17.8189966537516,329.09,-0.0722000002861023,0.7466999888420105,0.5308476555534505,0.5497000217437744,701,0.3020208470321416,0.7176821024373663,55.051272050417
2018-01-01,2018,1,1,Aswaraopeta,Bhadradri Kothagudem,TSSD0028,81.13465367876098,17.36329625852935,564.09,0.10040000081062317,0.8555999994277954,0.626930256530604,0.6273999810218811,1161,0.2774346193088528,0.7313743939592754,76.99163121162857
