uid,mandal,district,vci
TSSD0381,Nellikudur,Mahabubabad,49.31236364742872
TSSD0382,Nennel,Mancherial,47.613109250936986
TSSD0383,Neradigonda,Adilabad,59.41620699380507
TSSD0384,Nereducherla,Suryapet,43.64750483215976
TSSD0385,Neredugommu,Nalgonda,45.00151779868354
TSSD0386,Nidamanoor,Nalgonda,40.99821486894393
TSSD0387,Nirmal,Nirmal,56.58131613747007
TSSD0388,Nirmal Rural,Nirmal,56.191418699204
TSSD0389,Nizamabad North,Nizamabad,46.20415179105384
TSSD0390,Nizamabad Rural,Nizamabad,43.99499416030439
TSSD0391,Nizamabad South,Nizamabad,43.9345661435407
TSSD0392,Nizampet,Medak,38.70198056938872
TSSD0393,Nizamsagar,Kamareddy,42.83416672262008
TSSD0394,Noothankal,Suryapet,47.70917731578107
TSSD0395,Nyalkal,Sangareddy,43.02673487847294
TSSD0396,Odela,Peddapalli,49.654843700414354
TSSD0397,Padara,Nagarkurnool,48.976562927186656
TSSD0398,Palakeedu,Suryapet,42.14854070926275
TSSD0399,Palakurthy,Jangoan,44.37316469006492
TSSD0400,Palakurthy,Peddapalli,46.86749049364666
TSSD0401,Palmela,Jayashankar Bhupalpally,68.31228123048389
TSSD0402,Palvancha,Bhadradri Kothagudem,44.48207417888561
TSSD0403,Pangal,Wanaparthy,40.43693551187345
TSSD0404,Papannapet,Medak,46.92087000234705
TSSD0405,Pargi,Vikarabad,42.5889953050721
TSSD0406,Parkal,Warangal_Rural,47.32682453949686
TSSD0407,Parvathagiri,Warangal_Rural,49.18081019047714
TSSD0408,Patancheruvu,Sangareddy,39.71772217113915
TSSD0409,Pebbair,Wanaparthy,54.702110776416
TSSD0410,Peda Adisharla Palli,Nalgonda,43.392892211305345
TSSD0411,Pedda Kodapgal,Kamareddy,43.43297236671415
TSSD0412,Peddakothapalle,Nagarkurnool,35.595669550022706
TSSD0413,Peddamandaddi,Wanaparthy,41.302124082136764
TSSD0414,Peddapalli,Peddapalli,44.32271640164347
TSSD0415,Peddavangara,Mahabubabad,43.16676721288956
TSSD0416,Peddavoora,Nalgonda,45.1422907953919
TSSD0417,Peddemul,Vikarabad,35.56765465833614
TSSD0418,Pegadapalli,Jagtial,42.66387191879693
TSSD0419,Pembi,Nirmal,48.78739686991154
TSSD0420,Penchikalpet,Kumurambheem Asifabad,58.36268425967319
TSSD0421,Penpahad,Suryapet,44.109969448408165
TSSD0422,Pentlavelli,Nagarkurnool,63.35932420656095
TSSD0423,Penuballi,Khammam,33.94121758240994
TSSD0424,Pinapaka,Bhadradri Kothagudem,52.25893596757224
TSSD0425,Pudur,Vikarabad,43.72717147762623
TSSD0426,Pulkal,Sangareddy,43.05087339546858
TSSD0427,Quthbullapur,Medchal_Malkajgiri,39.97611554855338
TSSD0428,Raghunadhapalem,Khammam,53.42094935690408
TSSD0429,Ragunathpally,Jangoan,38.02361976217342
TSSD0430,Raikal,Jagtial,57.80605659403871
TSSD0431,Raikode,Sangareddy,42.34541045293787
TSSD0432,Raiparthy,Warangal_Rural,42.91576304028536
TSSD0433,Raipole,Siddipet,38.094124593805226
TSSD0434,Rajampet,Kamareddy,45.17163958592844
TSSD0435,Rajapeta,Yadadri Bhuvanagiri,46.150084653707125
TSSD0436,Rajapur,Mahabubnagar,35.932621208727426
TSSD0437,Rajendranagar,Rangareddy,42.02391883390472
TSSD0438,Rajoli,Jogulamba Gadwal,49.62051405013012
TSSD0439,Ramachandrapuram,Sangareddy,50.4753576892071
TSSD0440,Ramadugu,Karimnagar,44.86180455287735
TSSD0441,Ramagiri,Peddapalli,53.22892898461146
TSSD0442,Ramagundam,Peddapalli,55.7492420302256
TSSD0443,Ramannapet,Yadadri Bhuvanagiri,45.04522024018649
TSSD0444,Ramareddy,Kamareddy,39.554114650259514
TSSD0445,Ramayampet,Medak,39.3549109659278
TSSD0446,Rebbena,Kumurambheem Asifabad,51.221072406069325
TSSD0447,Regode,Medak,41.09382176928508
TSSD0448,Regonda,Jayashankar Bhupalpally,41.25358510304727
TSSD0449,Renjal,Nizamabad,50.225611042512675
TSSD0450,Revally,Wanaparthy,36.53670330915484
